Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Dark,Opto
1/8/2018,16:29:04,888,286,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:05,91,287,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:05,279,288,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:05,482,289,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:05,685,290,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:05,888,291,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:06,92,292,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:06,279,293,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:06,482,294,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:06,685,295,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:06,888,296,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:07,92,297,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:07,279,298,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:07,482,299,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:07,685,300,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:07,889,301,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:08,92,302,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:08,279,303,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:08,482,304,69,67,67,67,66,67,67,65,72,73,72,72,0,0
